iter	Logloss
0	0.661664205
1	0.6349718501
2	0.6111454402
3	0.5925255317
4	0.5716519535
5	0.5540347668
6	0.5384341251
7	0.5244676879
8	0.5126522739
9	0.5021703803
10	0.4930985997
11	0.483515588
12	0.4774972601
13	0.4693833957
14	0.4620604661
15	0.4559369081
16	0.4511378259
17	0.4455616802
18	0.4402807526
19	0.4354831074
20	0.4315979279
21	0.4277311371
22	0.4237838855
23	0.4210103909
24	0.41782572
25	0.4152801674
26	0.4127506692
27	0.4101583568
28	0.4072463897
29	0.4046517538
30	0.4026307202
31	0.4012105768
32	0.4002295162
33	0.3984131037
34	0.3973854786
35	0.3968012743
36	0.3949860975
37	0.394329743
38	0.3933852785
39	0.391766367
40	0.3903845098
41	0.3890530376
42	0.3881598128
43	0.3871308603
44	0.3860920622
45	0.3857536898
46	0.3851840891
47	0.3838008986
48	0.3827241366
49	0.3819962827
50	0.3814207436
51	0.3802843351
52	0.3794851797
53	0.3782799713
54	0.3772373142
55	0.3764941235
56	0.3758706466
57	0.3749907247
58	0.3742057664
59	0.373319455
60	0.3724812821
61	0.3717924603
62	0.3705866926
63	0.3699576321
64	0.369530031
65	0.369334242
66	0.3688607915
67	0.368670842
68	0.3681168445
69	0.3675263328
70	0.3662598055
71	0.3656031768
72	0.3649533943
73	0.364343216
74	0.3639801614
75	0.3630417938
76	0.3627916987
77	0.3621363602
78	0.3619384357
79	0.3614772655
80	0.3609550462
81	0.3596932697
82	0.3591627206
83	0.3587556797
84	0.3579875481
85	0.3572778532
86	0.3568322048
87	0.3563176013
88	0.356246215
89	0.3557868322
90	0.3552604613
91	0.3546623588
92	0.3544374869
93	0.3538800459
94	0.3537715756
95	0.3532040335
96	0.3526719742
97	0.3522369901
98	0.3518525921
99	0.3514369557
