iter	Passed	Remaining
0	0	57
1	1	96
2	3	101
3	3	87
4	4	93
5	6	96
6	7	94
7	7	86
8	8	85
9	9	88
10	10	86
11	12	88
12	13	87
13	13	85
14	14	84
15	16	84
16	17	83
17	18	83
18	19	83
19	20	83
20	22	82
21	22	81
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	31	75
29	31	73
30	32	72
31	33	71
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	43	64
40	44	63
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
