iter	RMSE
0	0.9119013896
1	0.8562607743
2	0.8307895708
3	0.8159813337
4	0.8056884938
5	0.7991502626
6	0.7947272703
7	0.7907388435
8	0.7881778374
9	0.7867358879
10	0.7840873134
11	0.7827430886
12	0.7790635599
13	0.7775193626
14	0.7751325551
15	0.7736098138
16	0.7723182837
17	0.7712693095
18	0.7684712319
19	0.7668018141
20	0.7651175768
21	0.7638485025
22	0.762876783
23	0.7619025702
24	0.760936744
25	0.760246719
26	0.7590734486
27	0.7577720385
28	0.7557216474
29	0.7542967315
30	0.7531542007
31	0.7519949023
32	0.7512168752
33	0.7504365715
34	0.7492500646
35	0.7479266427
36	0.7467221552
37	0.7454366503
38	0.7443844479
39	0.7427684661
40	0.7418669921
41	0.7413794679
42	0.7399205017
43	0.7385185836
44	0.7378028298
45	0.736825617
46	0.7355056984
47	0.7343676106
48	0.7329755533
49	0.7323798985
50	0.7316468228
51	0.7309834152
52	0.7297884562
53	0.729303754
54	0.7286503068
55	0.7276369586
56	0.7265375398
57	0.7259363695
58	0.7245740274
59	0.7237894151
60	0.7224477172
61	0.7218341373
62	0.7213820544
63	0.7207369575
64	0.7202333969
65	0.7197853171
66	0.7192639879
67	0.718778089
68	0.7182046339
69	0.7175262405
70	0.7166250485
71	0.7160783433
72	0.7156231934
73	0.7144395434
74	0.7138481128
75	0.7127115604
76	0.7115527486
77	0.7109208998
78	0.7103477218
79	0.7097058925
80	0.7091132235
81	0.7081904558
82	0.7078635078
83	0.7072501566
84	0.7067696336
85	0.7061999289
86	0.705728844
87	0.7050608236
88	0.7043743917
89	0.7037474148
90	0.7031690824
91	0.7026284611
92	0.701901135
93	0.7011948628
94	0.7007942851
95	0.7001425209
96	0.6992054252
97	0.6982403347
98	0.6976993955
99	0.6972350602
