iter	Passed	Remaining
0	140	13940
1	145	7123
2	149	4846
3	153	3695
4	157	2999
5	161	2536
6	165	2201
7	169	1951
8	173	1755
9	177	1597
10	181	1468
11	185	1362
12	189	1270
13	193	1189
14	197	1118
15	201	1056
16	205	1000
17	208	951
18	212	906
19	216	866
20	220	830
21	224	796
22	228	765
23	232	737
24	236	710
25	240	684
26	244	661
27	248	639
28	252	618
29	256	598
30	260	580
31	264	562
32	268	545
33	272	529
34	276	513
35	280	498
36	284	484
37	288	471
38	293	458
39	296	445
40	300	432
41	304	420
42	308	408
43	311	397
44	315	385
45	319	375
46	323	365
47	327	354
48	331	344
49	335	335
50	338	325
51	342	316
52	346	307
53	350	298
54	354	289
55	358	281
56	362	273
57	366	265
58	371	257
59	375	250
60	379	242
61	383	234
62	387	227
63	391	220
64	395	213
65	399	205
66	403	198
67	407	191
68	411	184
69	415	178
70	419	171
71	422	164
72	426	157
73	430	151
74	434	144
75	438	138
76	442	132
77	446	125
78	450	119
79	454	113
80	457	107
81	461	101
82	466	95
83	470	89
84	473	83
85	477	77
86	482	72
87	485	66
88	489	60
89	493	54
90	498	49
91	502	43
92	506	38
93	510	32
94	515	27
95	519	21
96	523	16
97	527	10
98	531	5
99	535	0
